Nome da Maquina;Data da Coleta;Uso de CPU;Load1;Load5;Load15;Uso de RAM;RAM total (bytes);RAM usada (bytes);Uso de Swap;Swap total (bytes);Swap usada (bytes);Uso de Disco;Disco total (bytes);Disco usado (bytes);Disco livre (bytes);Net bytes enviados;Net bytes recebidos;Freq CPU (MHz);Temp CPU (C);Uptime (s)
srv1;2025-10-10 18:43:40;1.3;0.79638671875;0.9755859375;1.046875;27.2;16435757056;4474638336;0.0;2147479552;0;3.2;993262940160;30012936192;912719495168;25354775;294018499;1975.0115833333332;45.0;5837
srv1;2025-10-10 18:44:41;32.5;0.951171875;0.95751953125;1.03125;27.1;16435757056;4452601856;0.0;2147479552;0;3.2;993262940160;30013894656;912718536704;25476844;294486398;648.1354166666665;51.0;5898
srv1;2025-10-10 18:45:42;3.8;1.15283203125;1.06005859375;1.06494140625;27.2;16435757056;4464627712;0.0;2147479552;0;3.2;993262940160;30013087744;912719343616;25626821;294736991;1287.4951666666666;49.0;5959
srv1;2025-10-10 18:46:43;3.7;0.76708984375;0.9814453125;1.0380859375;29.9;16435757056;4921262080;0.0;2147479552;0;3.2;993262940160;30019051520;912713379840;29421405;299687231;2186.14475;52.0;6020
srv1;2025-10-10 18:47:44;9.9;0.76513671875;0.93896484375;1.01708984375;30.2;16435757056;4971548672;0.0;2147479552;0;3.2;993262940160;30022447104;912709984256;29636484;299895419;1219.3724166666666;49.0;6081
srv1;2025-10-10 18:48:45;13.4;1.28515625;1.0576171875;1.05126953125;30.9;16435757056;5084831744;0.0;2147479552;0;3.2;993262940160;30022283264;912710148096;29845594;300110108;1646.35675;54.0;6142
srv1;2025-10-10 18:49:46;10.8;0.7724609375;0.95361328125;1.01318359375;30.3;16435757056;4985376768;0.0;2147479552;0;3.2;993262940160;30022311936;912710119424;29981296;300316463;1090.9845833333336;51.0;6203
srv1;2025-10-10 18:50:47;7.7;0.91064453125;0.96044921875;1.00927734375;30.2;16435757056;4955443200;0.0;2147479552;0;3.2;993262940160;30024093696;912708337664;30354260;302269668;1513.5975833333334;52.0;6264
srv1;2025-10-10 18:51:48;12.0;1.578125;1.14892578125;1.0712890625;30.3;16435757056;4977262592;0.0;2147479552;0;3.2;993262940160;30022701056;912709730304;30477116;302477256;859.9341666666668;54.0;6325
srv1;2025-10-10 18:52:49;4.3;1.13623046875;1.103515625;1.060546875;26.9;16435757056;4418269184;0.0;2147479552;0;3.2;993262940160;30006988800;912725442560;30584136;302601535;1471.2375;52.0;6386
srv1;2025-10-10 18:53:50;4.5;0.724609375;0.9892578125;1.0224609375;26.3;16435757056;4324306944;0.0;2147479552;0;3.2;993262940160;30008045568;912724385792;30668886;302701672;1570.3541666666667;51.0;6448
srv1;2025-10-10 18:54:52;5.6;1.5712890625;1.15185546875;1.0732421875;29.3;16435757056;4813164544;0.0;2147479552;0;3.2;993262940160;30015229952;912717201408;31636972;303536161;1144.4316666666666;46.0;6509
srv1;2025-10-10 18:55:53;2.6;0.94873046875;1.07177734375;1.052734375;27.5;16435757056;4518944768;0.0;2147479552;0;3.2;993262940160;30016233472;912716197888;31814509;304494672;1431.975416666667;40.0;6570
srv1;2025-10-10 18:56:54;2.8;0.5322265625;0.9345703125;1.00439453125;27.6;16435757056;4536729600;0.0;2147479552;0;3.2;993262940160;30023454720;912708976640;32072968;305917991;1703.8382499999998;44.0;6631
srv1;2025-10-10 18:57:55;7.9;0.49755859375;0.8544921875;0.97314453125;28.1;16435757056;4615577600;0.0;2147479552;0;3.2;993262940160;30024531968;912707899392;32214425;307152153;1376.4394166666668;47.0;6692
srv1;2025-10-10 18:58:56;3.9;0.51220703125;0.80224609375;0.94775390625;27.6;16435757056;4544413696;0.0;2147479552;0;3.2;993262940160;30025568256;912706863104;32370881;308408083;2156.1169999999997;47.0;6753
srv1;2025-10-10 18:59:57;7.3;0.69873046875;0.78271484375;0.9287109375;28.1;16435757056;4620607488;0.0;2147479552;0;3.2;993262940160;30026797056;912705634304;32543128;309928131;1635.2101666666665;49.0;6814
srv1;2025-10-10 19:00:58;11.5;1.486328125;0.96484375;0.98046875;29.4;16435757056;4827049984;0.0;2147479552;0;3.2;993262940160;30028550144;912703881216;33002575;311351243;1804.4001666666663;55.0;6875
srv1;2025-10-10 19:01:59;3.9;1.12109375;1.00341796875;0.99462890625;27.7;16435757056;4560117760;0.0;2147479552;0;3.2;993262940160;30029737984;912702693376;33576785;312949790;1335.3063333333332;51.0;6936
srv1;2025-10-10 19:03:00;3.8;1.00048828125;1.02099609375;1.00146484375;27.7;16435757056;4559896576;0.0;2147479552;0;3.2;993262940160;30031036416;912701394944;33888901;314627216;1899.1311666666663;51.0;6997
srv1;2025-10-10 19:04:01;3.5;0.533203125;0.8916015625;0.958984375;27.9;16435757056;4589518848;0.0;2147479552;0;3.2;993262940160;30032486400;912699944960;34131754;316389111;1632.934583333333;51.0;7058
srv1;2025-10-10 19:05:02;4.0;0.9072265625;0.9169921875;0.962890625;28.0;16435757056;4606582784;0.0;2147479552;0;3.2;993262940160;30034165760;912698265600;34417804;318197149;1897.1885000000002;51.0;7119
srv1;2025-10-10 19:06:03;5.1;1.146484375;0.966796875;0.97607421875;28.0;16435757056;4605775872;0.0;2147479552;0;3.2;993262940160;30035296256;912697135104;34746386;319722771;1557.3984166666667;51.0;7181
srv1;2025-10-10 19:07:05;17.4;2.17041015625;1.24560546875;1.06982421875;29.3;16435757056;4814684160;0.0;2147479552;0;3.2;993262940160;30036766720;912695664640;35319240;321368685;1579.7660833333332;55.0;7242
srv1;2025-10-10 19:08:06;4.6;1.6953125;1.26416015625;1.08740234375;29.4;16435757056;4829335552;0.0;2147479552;0;3.2;993262940160;30038212608;912694218752;36055456;323128860;2376.41775;55.0;7302
srv1;2025-10-10 19:09:08;4.4;0.95751953125;1.1455078125;1.05908203125;28.9;16435757056;4743688192;0.0;2147479552;0;3.2;993262940160;30039502848;912692928512;36815856;324650639;1256.3724166666668;54.0;7364
srv1;2025-10-10 19:10:09;10.8;1.49267578125;1.2578125;1.103515625;29.3;16435757056;4810280960;0.0;2147479552;0;3.2;993262940160;30041006080;912691425280;37579500;326386811;1316.7069166666668;58.0;7425
